"sample_1"	"sample_2"	"sample_3"	"sample_4"	"sample_5"	"sample_6"	"sample_7"	"sample_8"	"sample_9"	"sample_10"	"sample_11"	"sample_12"	"sample_13"	"sample_14"	"sample_15"	"sample_16"	"sample_17"	"sample_18"	"sample_19"	"sample_20"	"sample_21"	"sample_22"	"sample_23"	"sample_24"	"sample_25"	"sample_26"	"sample_27"	"sample_28"	"sample_29"	"sample_30"
"TSPAN6"	1654	844	1353	1082	1929	2390	988	244	536	408	3315	1560	922	646	1516	3890	167	832	704	901	0	961	863	2225	3136	1888	2013	293	1888	853
"DPM1"	1978	761	2874	1122	3948	1885	1156	488	532	935	551	925	977	1928	1439	2688	434	1156	439	726	0	1104	2024	2269	2217	2379	3499	358	1224	1042
"SCYL3"	1546	933	736	684	697	647	394	688	466	330	675	805	1350	597	648	1718	342	634	1074	1240	0	491	466	867	1078	861	1933	795	629	311
"C1orf112"	1191	864	586	727	586	684	486	246	133	233	130	766	495	347	604	693	120	181	1172	1131	0	577	214	787	996	435	644	199	190	232
"FGR"	470	240	349	378	522	317	249	126	114	181	282	346	221	155	188	96	176	194	435	689	0	241	148	175	4354	99	478	195	211	103
"CFH"	5894	4548	6958	2263	28794	10682	3810	2356	1925	506	2140	3058	5260	2836	654	14685	2286	2108	1123	2721	0	863	1596	9963	9058	1905	4783	1702	1060	2405
"FUCA2"	3297	1698	2303	1443	4571	3736	4038	447	459	1852	721	2497	2176	1720	880	3912	917	652	752	1474	0	490	2167	2346	15435	2906	1300	336	651	1391
"GCLC"	7218	1467	2901	1933	1433	1688	2421	1768	1419	1399	705	656	2002	2290	3384	6112	676	1689	926	1539	0	619	3223	4720	2326	25759	8037	1389	3573	2643
"NFYA"	1582	2206	2366	1493	2567	3287	2129	990	462	2028	548	2084	2353	960	1576	2143	476	1077	881	963	0	1020	2467	4375	3426	2325	2467	790	1082	948
"STPG1"	660	314	889	1306	827	300	291	330	136	412	130	461	353	590	645	799	79	215	343	349	0	325	858	1568	376	935	548	154	189	267
"NIPAL3"	2729	1831	3095	3045	4157	1537	1894	1880	916	2641	2158	2772	1759	2188	1435	3634	619	1060	1538	1576	0	564	4338	5088	2002	3143	2662	864	1482	2003
"LAS1L"	2636	1170	1111	1404	3553	1904	1373	763	380	680	693	1466	1039	1306	1177	2203	486	1017	1650	1797	0	898	2292	4605	2874	2912	4355	713	1036	696
