,sample_1,sample_3,sample_2,sample_10,sample_9,sample_12,sample_11,sample_6,sample_4,sample_5,sample_7,sample_8
TSPAN6,1191,1474,1857,1872,4184,1692,1286,4236,1708,1612,2989,3543
TNMD,5,41,67,1778,1231,338,395,834,1252,724,106,611
SCYL3,671,822,951,960,878,909,723,988,733,791,975,724
C1orf112,61,130,136,172,370,171,123,254,184,198,390,689
FGR,0,1,0,0,1,2,0,0,1,0,0,0
FUCA2,1113,1228,1446,1703,1482,1337,1085,1766,1019,1064,2051,1530
GCLC,1148,1376,1441,1446,1395,1492,1181,1841,1121,1321,1812,1570
STPG1,1065,1240,1083,1440,878,1064,1176,1097,633,741,1273,718
NIPAL3,4329,4906,4346,5622,3164,3034,4553,6043,2472,2750,7598,3635
ENPP4,987,1030,925,926,924,956,938,1332,711,813,1308,981
SEMA3F,893,1185,1233,1784,1815,950,1059,2670,1088,1015,612,751
ANKIB1,3988,5069,5759,5772,5910,7175,4122,6490,4922,5447,5598,4968
RAD52,365.02,440.92,508.43,515.82,805.91,780.69,364.91,666.38,387.55,428.11,551.22,472.51
CD99,465,952,994,4520,7060,1677,1873,4840,3718,3351,6159,7277
HS3ST1,525,911,919,992,1293,1017,671,1277,706,739,950,908
WNT16,1,2,2,26,41,24,6,9,32,12,65,281
HECW1,3629,4779,4869,4843,4281,4611,4012,6518,3559,4273,3687,3074
LASP1,9431,12157,14468,19942,19611,15989.99,10732,19312,15212,16452,21412,24710
TMEM176A,1,1,2,2,1,0,2,1,3,1,19,12
M6PR,3179,3903,4087,4606,5377,3967,3493,5815,3136,3620,5009,4921
KLHL13,2350.49,3471,3652,3012.28,3566.35,4023,2351,3838.31,2782.32,3705,1787,1838
ICA1,947,1130,1326,1016,653,1398,916,591,573,862,930.2,544
TFPI,57,141,123,1149,460,363,308,151,885,991,2303,575
NDUFAF7,491,651,800,712,1029,1063,508,908,659,676,884,839
RBM5,6075.67,7663.96,9735.39,8355.32,12083.76,10925.43,6472.48,10800.11,7059.37,7950.48,9878.36,9468.87
MTMR7,3445,4042,3425,3528,2343,3747,3513,3233,2680,3180,2372,1686
ARF5,4926.86,6025.53,6591.77,5201.01,5773.27,6706.93,4454.51,5635.53,4100.53,4963.58,4558.03,4719.56
SARM1,10438.04,12183,12044,16324.41,7534.47,10334,10502.79,10424.35,8848,8976.8,9136.89,5891.29
POLDIP2,3479,4484,5320,5057,4903,4978,3478,5329,3723,4058,5066,4751
CD38,1,2,5,5,10,4,3,21,4,8,56,23
